#3
S
#3
sid,name,age
267,a57,65
268,a296,20
269,a231,73
270,a209,35
271,a242,52
272,a194,41
273,a187,80
274,a246,68
275,a278,48
276,a298,29
277,a31,47
278,a271,21
279,a259,39
280,a85,53
281,a213,85
282,a23,43
283,a145,33
284,a200,45
285,a57,69
286,a182,87
287,a176,86
288,a21,88
289,a149,85
290,a185,36
291,a234,75
292,a7,80
293,a171,41
294,a113,73
295,a151,70
296,a298,78
297,a31,63
298,a188,81
299,a81,67
$
B
#2
bid,color
#30
1000,red
1001,black
1002,red
1003,green
1004,white
1005,red
1006,blue
1007,red
1008,green
1009,green
1010,green
1011,green
1012,white
1013,white
1014,red
1015,blue
1016,blue
1017,black
1018,white
1019,red
1020,red
1021,black
1022,blue
1023,white
1024,white
1025,green
1026,white
1027,white
1028,red
1029,black
$
R
#3
rid,sid,bid
#1500
0,134,1014
1,292,1007
2,62,1021
3,120,1014
4,161,1014
5,218,1005
6,53,1022
7,81,1029
8,242,1016
9,34,1002
10,120,1015
11,221,1002
12,296,1012
13,80,1023
14,10,1004
15,167,1000
16,78,1023
17,215,1012
18,80,1002
19,196,1010
20,234,1029
21,250,1027
22,11,1007
23,145,1015
24,34,1026
25,282,1002
26,133,1011
27,280,1027
28,91,1011
29,230,1008
30,59,1007
31,7,1002
32,62,1021
33,215,1003
34,88,1026
35,182,1022
36,252,1000
37,186,1023
38,171,1028
39,19,1010
40,142,1020
41,105,1017
42,157,1020
43,93,1006
44,2,1007
45,97,1016
46,298,1000
47,256,1014
48,172,1002
49,120,1014
50,107,1002
51,220,1007
52,109,1000
53,22,1014
54,222,1008
55,39,1022
56,269,1019
57,15,1015
58,216,1027
59,277,1009
60,134,1015
61,245,1022
62,188,1026
63,34,1008
64,220,1002
65,232,1012
66,46,1020
67,59,1011
68,210,1020
69,261,1002
70,275,1027
71,183,1020
72,72,1027
73,67,1012
74,7,1003
75,239,1028
76,177,1023
77,148,1027
78,63,1014
79,279,1018
80,145,1029
81,72,1001
82,246,1018
83,44,1004
84,18,1024
85,291,1023
86,221,1008
87,25,1027
88,226,1014
89,40,1007
90,164,1027
91,233,1015
92,213,1006
93,239,1005
94,281,1009
95,126,1024
96,283,1002
97,176,1023
98,111,1012
99,284,1010
100,35,1008
101,149,1003
102,251,1029
103,271,1029
104,162,1006
105,256,1018
106,137,1000
107,38,1023
108,274,1015
109,97,1017
110,215,1011
111,58,1009
112,13,1029
113,233,1005
114,216,1006
115,270,1027
116,242,1003
117,189,1003
118,204,1024
119,270,1014
120,118,1010
121,218,1018
122,220,1002
123,240,1006
124,269,1025
125,244,1002
126,171,1024
127,276,1011
128,164,1022
129,18,1022
130,129,1008
131,257,1023
132,111,1026
133,237,1006
134,83,1004
135,169,1016
136,106,1002
137,43,1016
138,55,1013
139,241,1020
140,127,1020
141,82,1008
142,168,1014
143,183,1003
144,279,1026
145,180,1026
146,162,1007
147,66,1015
148,234,1003
149,236,1017
150,200,1018
151,114,1019
152,178,1019
153,70,1015
154,161,1004
155,106,1017
156,135,1011
157,269,1008
158,65,1018
159,5,1023
160,242,1013
161,81,1012
162,169,1001
163,144,1009
164,99,1007
165,145,1022
166,55,1013
167,286,1025
168,74,1015
169,219,1010
170,68,1023
171,165,1027
172,79,1026
173,31,1020
174,177,1016
175,183,1014
176,62,1006
177,207,1022
178,170,1017
179,53,1003
180,289,1007
181,293,1010
182,273,1020
183,86,1028
184,120,1022
185,95,1018
186,48,1010
187,85,1026
188,119,1009
189,5,1018
190,271,1020
191,150,1021
192,194,1016
193,223,1020
194,116,1027
195,276,1018
196,71,1005
197,52,1022
198,165,1024
199,131,1027
200,60,1004
201,262,1024
202,273,1016
203,150,1016
204,31,1019
205,109,1009
206,297,1017
207,36,1002
208,239,1004
209,46,1017
210,54,1009
211,259,1003
212,244,1006
213,199,1021
214,149,1006
215,207,1017
216,156,1025
217,26,1019
218,59,1011
219,223,1002
220,170,1017
221,289,1027
222,161,1004
223,219,1005
224,291,1002
225,293,1002
226,0,1023
227,128,1025
228,160,1022
229,53,1006
230,150,1029
231,261,1003
232,251,1021
233,249,1003
234,177,1014
235,12,1012
236,0,1026
237,232,1023
238,142,1022
239,55,1024
240,77,1001
241,45,1009
242,37,1000
243,245,1027
244,34,1026
245,63,1007
246,257,1002
247,282,1017
248,19,1021
249,187,1025
250,199,1013
251,174,1007
252,139,1022
253,260,1018
254,67,1027
255,200,1026
256,273,1007
257,193,1024
258,201,1019
259,75,1010
260,1,1014
261,2,1002
262,134,1015
263,223,1027
264,234,1005
265,55,1016
266,117,1026
267,211,1029
268,100,1019
269,289,1015
270,42,1014
271,55,1015
272,113,1026
273,37,1028
274,271,1019
275,31,1022
276,148,1028
277,241,1019
278,42,1025
279,133,1014
280,141,1017
281,230,1010
282,250,1002
283,164,1005
284,2,1023
285,166,1012
286,2,1023
287,48,1004
288,0,1029
289,24,1008
290,207,1009
291,147,1015
292,95,1022
293,239,1009
294,97,1006
295,291,1013
296,290,1015
297,55,1020
298,220,1024
299,86,1005
300,166,1017
301,191,1004
302,133,1009
303,10,1029
304,208,1028
305,26,1018
306,174,1022
307,42,1015
308,294,1025
309,123,1001
310,266,1015
311,191,1000
312,185,1002
313,231,1028
314,163,1022
315,171,1025
316,16,1023
317,234,1027
318,76,1001
319,17,1005
320,237,1014
321,280,1018
322,26,1005
323,231,1016
324,68,1017
325,298,1019
326,164,1011
327,158,1023
328,115,1009
329,53,1019
330,285,1026
331,103,1027
332,183,1024
333,17,1002
334,159,1011
335,84,1010
336,226,1010
337,178,1010
338,219,1016
339,224,1024
340,113,1002
341,120,1010
342,108,1024
343,53,1014
344,31,1018
345,294,1010
346,275,1005
347,101,1012
348,94,1023
349,291,1017
350,26,1028
351,227,1021
352,231,1018
353,75,1011
354,112,1003
355,9,1007
356,290,1025
357,20,1009
358,174,1025
359,110,1001
360,233,1011
361,88,1021
362,233,1016
363,3,1020
364,203,1026
365,131,1025
366,47,1020
367,88,1011
368,266,1000
369,24,1003
370,106,1021
371,86,1022
372,169,1007
373,92,1006
374,104,1005
375,201,1028
376,111,1022
377,271,1012
378,108,1005
379,78,1017
380,136,1012
381,193,1020
382,12,1017
383,16,1001
384,190,1029
385,290,1029
386,255,1015
387,149,1019
388,83,1017
389,129,1008
390,49,1012
391,211,1010
392,84,1011
393,12,1012
394,106,1015
395,277,1017
396,207,1010
397,69,1024
398,176,1000
399,133,1029
400,127,1009
401,199,1005
402,268,1016
403,293,1007
404,133,1025
405,66,1005
406,80,1021
407,130,1028
408,48,1015
409,82,1025
410,13,1009
411,203,1014
412,150,1028
413,158,1016
414,218,1013
415,8,1008
416,178,1021
417,225,1002
418,296,1000
419,38,1003
420,54,1020
421,9,1019
422,112,1028
423,29,1010
424,158,1020
425,58,1023
426,109,1027
427,65,1021
428,56,1012
429,1,1006
430,165,1003
431,130,1003
432,170,1029
433,49,1020
434,275,1029
435,215,1009
436,162,1013
437,42,1029
438,245,1028
439,29,1028
440,249,1029
441,216,1005
442,66,1001
443,5,1019
444,234,1024
445,195,1010
446,260,1013
447,251,1018
448,118,1016
449,263,1005
450,45,1020
451,162,1016
452,295,1019
453,264,1020
454,170,1018
455,241,1004
456,33,1029
457,146,1002
458,46,1013
459,54,1021
460,174,1000
461,29,1021
462,138,1010
463,198,1009
464,90,1008
465,98,1007
466,271,1009
467,281,1001
468,150,1025
469,275,1021
470,216,1022
471,106,1004
472,99,1006
473,239,1027
474,150,1027
475,4,1007
476,296,1001
477,207,1023
478,178,1015
479,176,1010
480,130,1008
481,77,1012
482,278,1016
483,45,1007
484,98,1028
485,286,1019
486,9,1021
487,275,1019
488,201,1023
489,84,1003
490,11,1008
491,259,1020
492,212,1010
493,109,1029
494,134,1016
495,5,1012
496,176,1022
497,94,1004
498,167,1027
499,215,1013
500,237,1012
501,14,1027
502,298,1008
503,35,1025
504,132,1026
505,267,1001
506,249,1011
507,193,1004
508,189,1018
509,108,1012
510,290,1015
511,95,1011
512,158,1007
513,157,1026
514,208,1011
515,58,1026
516,254,1023
517,134,1005
518,281,1007
519,237,1027
520,36,1006
521,278,1004
522,203,1023
523,115,1018
524,242,1028
525,69,1011
526,173,1017
527,226,1023
528,130,1023
529,10,1019
530,141,1029
531,101,1029
532,150,1017
533,142,1006
534,195,1023
535,266,1002
536,190,1027
537,124,1004
538,159,1003
539,222,1020
540,154,1010
541,130,1004
542,250,1021
543,162,1014
544,244,1021
545,220,1025
546,167,1010
547,108,1019
548,130,1002
549,49,1022
550,133,1024
551,59,1017
552,135,1025
553,277,1019
554,208,1006
555,97,1014
556,104,1012
557,86,1004
558,257,1022
559,172,1028
560,166,1003
561,199,1019
562,100,1014
563,139,1004
564,106,1017
565,78,1029
566,124,1020
567,61,1004
568,262,1023
569,246,1005
570,51,1013
571,221,1028
572,174,1024
573,186,1002
574,257,1022
575,165,1009
576,64,1003
577,243,1010
578,219,1028
579,253,1003
580,214,1016
581,130,1022
582,130,1001
583,88,1017
584,290,1024
585,0,1017
586,72,1011
587,152,1006
588,74,1012
589,74,1013
590,175,1000
591,115,1008
592,81,1029
593,242,1008
594,33,1011
595,35,1009
596,197,1022
597,27,1013
598,135,1015
599,80,1009
600,89,1005
601,290,1025
602,270,1017
603,18,1014
604,103,1014
605,270,1001
606,34,1014
607,280,1025
608,10,1014
609,292,1010
610,125,1000
611,293,1022
612,57,1021
613,199,1012
614,178,1017
615,138,1027
616,234,1024
617,271,1015
618,55,1023
619,104,1001
620,119,1019
621,204,1025
622,259,1017
623,92,1015
624,120,1015
625,6,1013
626,161,1012
627,24,1025
628,26,1001
629,127,1013
630,172,1024
631,21,1023
632,45,1024
633,30,1013
634,153,1023
635,295,1029
636,116,1002
637,29,1021
638,213,1002
639,272,1013
640,267,1015
641,298,1015
642,32,1019
643,54,1027
644,8,1000
645,262,1008
646,248,1020
647,179,1027
648,202,1025
649,284,1010
650,149,1012
651,42,1021
652,171,1017
653,62,1006
654,178,1011
655,206,1005
656,45,1023
657,6,1004
658,227,1007
659,211,1013
660,261,1012
661,118,1003
662,2,1029
663,9,1028
664,108,1015
665,58,1021
666,48,1021
667,25,1025
668,144,1028
669,292,1006
670,81,1023
671,6,1006
672,282,1023
673,157,1004
674,243,1005
675,116,1009
676,60,1026
677,104,1010
678,287,1025
679,196,1004
680,275,1023
681,279,1001
682,157,1011
683,106,1005
684,18,1012
685,225,1002
686,170,1015
687,64,1000
688,113,1005
689,190,1026
690,77,1021
691,235,1011
692,28,1005
693,226,1017
694,232,1001
695,27,1004
696,219,1015
697,164,1018
698,105,1019
699,216,1029
700,49,1027
701,109,1004
702,220,1000
703,216,1007
704,198,1004
705,246,1002
706,157,1005
707,227,1000
708,110,1027
709,204,1007
710,184,1020
711,160,1022
712,75,1000
713,285,1022
714,45,1015
715,37,1024
716,34,1012
717,279,1013
718,3,1022
719,158,1001
720,153,1020
721,214,1024
722,48,1027
723,177,1018
724,66,1007
725,255,1017
726,131,1017
727,31,1002
728,168,1015
729,173,1029
730,109,1002
731,195,1021
732,35,1013
733,201,1021
734,268,1017
735,215,1026
736,216,1016
737,44,1021
738,293,1018
739,297,1025
740,174,1023
741,251,1023
742,259,1006
743,117,1023
744,299,1011
745,53,1027
746,216,1017
747,149,1020
748,81,1006
749,24,1022
750,145,1012
751,199,1020
752,63,1007
753,6,1024
754,80,1005
755,152,1028
756,244,1004
757,239,1016
758,185,1010
759,77,1015
760,46,1026
761,109,1024
762,179,1019
763,290,1000
764,143,1026
765,131,1008
766,180,1000
767,205,1024
768,185,1009
769,116,1016
770,296,1024
771,211,1002
772,201,1008
773,160,1023
774,244,1027
775,142,1027
776,5,1010
777,244,1015
778,162,1002
779,275,1025
780,279,1013
781,21,1019
782,214,1009
783,76,1009
784,276,1028
785,255,1022
786,173,1014
787,100,1019
788,133,1006
789,93,1026
790,176,1018
791,158,1025
792,117,1018
793,35,1020
794,137,1010
795,287,1003
796,100,1023
797,259,1029
798,146,1000
799,70,1024
800,188,1024
801,246,1024
802,24,1008
803,77,1019
804,274,1011
805,82,1024
806,201,1017
807,293,1018
808,200,1004
809,53,1021
810,8,1006
811,103,1006
812,135,1009
813,279,1009
814,117,1028
815,67,1002
816,270,1016
817,209,1011
818,26,1029
819,214,1009
820,288,1016
821,171,1005
822,79,1007
823,207,1010
824,245,1007
825,276,1003
826,219,1022
827,93,1006
828,86,1017
829,37,1022
830,69,1004
831,216,1016
832,32,1021
833,21,1012
834,87,1002
835,298,1024
836,27,1005
837,290,1025
838,40,1017
839,65,1005
840,116,1025
841,291,1029
842,230,1018
843,191,1015
844,21,1014
845,68,1003
846,161,1006
847,71,1014
848,112,1025
849,230,1018
850,19,1012
851,218,1016
852,217,1028
853,52,1010
854,116,1006
855,45,1020
856,142,1015
857,173,1002
858,261,1023
859,273,1013
860,181,1010
861,140,1020
862,199,1028
863,289,1028
864,70,1029
865,292,1011
866,250,1013
867,191,1022
868,264,1018
869,151,1009
870,42,1013
871,90,1022
872,232,1001
873,19,1027
874,271,1007
875,250,1012
876,109,1003
877,227,1015
878,60,1015
879,10,1007
880,243,1017
881,163,1020
882,1,1013
883,24,1029
884,100,1005
885,17,1003
886,142,1028
887,202,1018
888,52,1027
889,133,1025
890,172,1024
891,199,1003
892,71,1004
893,21,1023
894,68,1027
895,130,1020
896,86,1009
897,79,1021
898,143,1020
899,99,1016
900,295,1024
901,169,1018
902,184,1023
903,102,1023
904,119,1017
905,37,1017
906,22,1027
907,38,1021
908,246,1014
909,261,1029
910,137,1003
911,183,1025
912,198,1022
913,277,1022
914,5,1016
915,33,1026
916,199,1022
917,268,1005
918,243,1023
919,73,1026
920,108,1010
921,210,1015
922,68,1004
923,61,1001
924,272,1002
925,254,1017
926,75,1017
927,161,1000
928,275,1016
929,52,1014
930,78,1005
931,135,1029
932,114,1016
933,70,1001
934,69,1023
935,242,1014
936,90,1008
937,134,1023
938,169,1020
939,262,1001
940,119,1000
941,109,1024
942,30,1009
943,85,1010
944,25,1022
945,34,1011
946,7,1005
947,269,1010
948,222,1009
949,242,1022
950,298,1023
951,109,1026
952,255,1014
953,68,1028
954,2,1020
955,117,1028
956,66,1003
957,267,1014
958,234,1004
959,168,1021
960,53,1003
961,79,1009
962,31,1000
963,188,1007
964,240,1011
965,28,1000
966,223,1022
967,297,1010
968,230,1009
969,161,1012
970,65,1009
971,144,1008
972,237,1014
973,215,1003
974,212,1023
975,182,1028
976,88,1007
977,223,1027
978,231,1010
979,121,1024
980,112,1027
981,204,1009
982,81,1027
983,249,1027
984,33,1022
985,217,1013
986,226,1011
987,213,1024
988,107,1001
989,296,1017
990,131,1015
991,61,1009
992,185,1010
993,146,1012
994,99,1003
995,216,1028
996,275,1022
997,101,1005
998,77,1020
999,101,1022
1000,166,1009
1001,119,1000
1002,216,1007
1003,137,1020
1004,66,1029
1005,19,1023
1006,214,1005
1007,185,1025
1008,232,1019
1009,236,1006
1010,120,1015
1011,78,1017
1012,70,1010
1013,35,1019
1014,15,1029
1015,134,1018
1016,187,1004
1017,111,1028
1018,293,1025
1019,25,1006
1020,76,1029
1021,195,1000
1022,121,1000
1023,292,1028
1024,124,1013
1025,263,1018
1026,181,1021
1027,88,1015
1028,132,1018
1029,100,1026
1030,174,1017
1031,273,1011
1032,31,1003
1033,167,1012
1034,207,1004
1035,170,1015
1036,154,1003
1037,13,1003
1038,151,1006
1039,33,1009
1040,236,1022
1041,30,1020
1042,5,1013
1043,293,1010
1044,50,1010
1045,36,1002
1046,82,1019
1047,246,1025
1048,204,1015
1049,262,1015
1050,228,1016
1051,210,1024
1052,203,1017
1053,24,1027
1054,248,1012
1055,272,1008
1056,132,1020
1057,73,1028
1058,268,1015
1059,165,1024
1060,133,1024
1061,35,1006
1062,20,1011
1063,124,1007
1064,204,1029
1065,169,1011
1066,193,1023
1067,210,1003
1068,278,1023
1069,90,1004
1070,6,1004
1071,17,1018
1072,30,1014
1073,118,1005
1074,80,1021
1075,85,1029
1076,79,1018
1077,94,1005
1078,200,1007
1079,107,1023
1080,266,1000
1081,64,1025
1082,266,1028
1083,28,1001
1084,120,1025
1085,26,1001
1086,120,1015
1087,232,1015
1088,121,1023
1089,143,1019
1090,241,1028
1091,241,1015
1092,244,1024
1093,296,1022
1094,158,1023
1095,120,1000
1096,43,1001
1097,33,1002
1098,256,1010
1099,225,1027
1100,246,1023
1101,205,1004
1102,175,1006
1103,263,1000
1104,14,1027
1105,59,1023
1106,155,1024
1107,251,1003
1108,44,1018
1109,123,1016
1110,164,1015
1111,133,1018
1112,27,1029
1113,128,1022
1114,208,1008
1115,285,1012
1116,179,1019
1117,30,1026
1118,74,1027
1119,69,1015
1120,164,1003
1121,45,1000
1122,90,1000
1123,125,1015
1124,54,1006
1125,40,1026
1126,35,1022
1127,137,1027
1128,162,1014
1129,284,1022
1130,104,1022
1131,270,1023
1132,84,1003
1133,11,1005
1134,118,1015
1135,11,1017
1136,82,1020
1137,75,1026
1138,240,1016
1139,137,1028
1140,9,1011
1141,181,1005
1142,6,1015
1143,64,1007
1144,63,1027
1145,58,1029
1146,104,1022
1147,144,1029
1148,91,1009
1149,216,1006
1150,135,1026
1151,191,1023
1152,239,1022
1153,168,1025
1154,5,1023
1155,216,1020
1156,49,1025
1157,214,1010
1158,173,1028
1159,119,1002
1160,277,1018
1161,54,1005
1162,172,1028
1163,131,1010
1164,35,1000
1165,287,1000
1166,49,1007
1167,274,1007
1168,205,1024
1169,283,1023
1170,254,1027
1171,174,1002
1172,154,1001
1173,207,1003
1174,79,1015
1175,105,1001
1176,194,1012
1177,144,1012
1178,134,1023
1179,195,1002
1180,215,1025
1181,134,1007
1182,194,1028
1183,164,1002
1184,288,1017
1185,72,1015
1186,156,1022
1187,94,1017
1188,9,1029
1189,45,1014
1190,89,1010
1191,4,1005
1192,94,1024
1193,96,1014
1194,83,1012
1195,161,1006
1196,64,1012
1197,219,1010
1198,79,1004
1199,143,1009
1200,187,1024
1201,183,1002
1202,265,1021
1203,264,1006
1204,107,1007
1205,226,1005
1206,298,1012
1207,46,1011
1208,60,1021
1209,4,1026
1210,106,1024
1211,133,1000
1212,194,1026
1213,240,1011
1214,85,1000
1215,186,1018
1216,205,1021
1217,245,1018
1218,89,1003
1219,265,1021
1220,115,1010
1221,99,1019
1222,297,1005
1223,128,1006
1224,189,1007
1225,237,1024
1226,286,1022
1227,3,1013
1228,158,1002
1229,137,1002
1230,299,1008
1231,142,1020
1232,128,1023
1233,276,1012
1234,164,1025
1235,32,1025
1236,287,1029
1237,113,1008
1238,126,1017
1239,194,1022
1240,108,1001
1241,131,1012
1242,192,1027
1243,107,1009
1244,253,1003
1245,34,1016
1246,273,1025
1247,49,1001
1248,104,1010
1249,259,1007
1250,286,1017
1251,49,1020
1252,298,1002
1253,115,1012
1254,152,1012
1255,41,1016
1256,95,1021
1257,138,1011
1258,248,1007
1259,236,1015
1260,239,1006
1261,152,1022
1262,25,1028
1263,170,1004
1264,24,1027
1265,205,1002
1266,6,1019
1267,20,1029
1268,25,1011
1269,40,1024
1270,153,1021
1271,88,1024
1272,273,1026
1273,134,1011
1274,205,1016
1275,58,1018
1276,136,1004
1277,222,1021
1278,123,1001
1279,77,1021
1280,89,1010
1281,151,1029
1282,261,1022
1283,114,1016
1284,153,1004
1285,50,1016
1286,191,1015
1287,155,1002
1288,14,1014
1289,202,1022
1290,5,1021
1291,132,1026
1292,31,1011
1293,60,1009
1294,205,1020
1295,294,1025
1296,140,1022
1297,135,1027
1298,199,1012
1299,37,1004
1300,103,1006
1301,269,1014
1302,256,1027
1303,279,1026
1304,171,1014
1305,107,1003
1306,62,1012
1307,14,1005
1308,33,1016
1309,95,1003
1310,92,1005
1311,142,1026
1312,2,1026
1313,61,1024
1314,23,1007
1315,149,1024
1316,228,1008
1317,290,1001
1318,278,1029
1319,113,1001
1320,120,1024
1321,275,1014
1322,274,1029
1323,129,1009
1324,96,1006
1325,270,1027
1326,264,1015
1327,71,1026
1328,29,1015
1329,185,1028
1330,128,1011
1331,27,1001
1332,256,1000
1333,118,1013
1334,209,1005
1335,249,1018
1336,246,1018
1337,253,1003
1338,3,1002
1339,158,1018
1340,185,1000
1341,159,1028
1342,292,1001
1343,57,1021
1344,198,1012
1345,60,1012
1346,73,1009
1347,88,1001
1348,239,1003
1349,2,1008
1350,5,1028
1351,297,1018
1352,55,1003
1353,88,1004
1354,11,1012
1355,53,1006
1356,289,1022
1357,134,1001
1358,227,1003
1359,178,1006
1360,95,1020
1361,68,1021
1362,291,1008
1363,21,1005
1364,28,1013
1365,242,1029
1366,274,1006
1367,280,1013
1368,253,1027
1369,160,1008
1370,220,1018
1371,211,1019
1372,132,1023
1373,271,1010
1374,253,1005
1375,212,1009
1376,9,1026
1377,120,1006
1378,45,1018
1379,204,1003
1380,180,1002
1381,31,1015
1382,189,1008
1383,16,1021
1384,20,1000
1385,233,1005
1386,199,1009
1387,28,1015
1388,39,1014
1389,86,1002
1390,10,1001
1391,89,1015
1392,171,1018
1393,207,1028
1394,154,1014
1395,289,1013
1396,38,1026
1397,51,1027
1398,27,1004
1399,24,1006
1400,126,1014
1401,129,1007
1402,63,1025
1403,232,1005
1404,278,1006
1405,88,1006
1406,210,1026
1407,91,1008
1408,4,1024
1409,103,1001
1410,13,1010
1411,101,1020
1412,44,1016
1413,102,1023
1414,287,1004
1415,287,1015
1416,279,1027
1417,34,1028
1418,27,1022
1419,166,1023
1420,71,1026
1421,75,1007
1422,228,1020
1423,210,1022
1424,151,1020
1425,273,1017
1426,153,1006
1427,295,1015
1428,172,1017
1429,6,1021
1430,12,1006
1431,47,1018
1432,94,1013
1433,226,1018
1434,224,1001
1435,43,1025
1436,4,1023
1437,200,1028
1438,113,1018
1439,184,1009
1440,67,1005
1441,196,1007
1442,69,1018
1443,253,1001
1444,235,1015
1445,130,1004
1446,3,1000
1447,42,1006
1448,143,1023
1449,181,1004
1450,244,1014
1451,299,1019
1452,217,1010
1453,203,1004
1454,247,1017
1455,134,1007
1456,20,1026
1457,181,1029
1458,35,1029
1459,140,1005
1460,22,1020
1461,202,1021
1462,101,1004
1463,38,1027
1464,269,1023
1465,66,1006
1466,235,1023
1467,216,1018
1468,121,1028
1469,282,1012
1470,9,1020
1471,102,1001
1472,232,1013
1473,82,1027
1474,72,1015
1475,185,1016
1476,52,1000
1477,181,1025
1478,210,1023
1479,177,1010
1480,223,1023
1481,101,1009
1482,218,1026
1483,282,1026
1484,230,1020
1485,83,1015
1486,253,1019
1487,222,1027
1488,248,1028
1489,171,1013
1490,130,1021
1491,179,1020
1492,57,1019
1493,74,1000
1494,2,1022
1495,71,1002
1496,149,1012
1497,243,1025
1498,156,1007
1499,249,1027
